"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2025","34.81","34.78","34.90","34.69","176.65K","3.05%"
"02/05/2025","33.78","33.94","34.00","33.67","150.18K","-0.41%"
"02/04/2025","33.92","34.12","34.12","33.86","137.90K","-0.50%"
"02/03/2025","34.09","33.55","34.26","33.48","210.02K","-1.79%"
"01/31/2025","34.71","34.90","35.14","34.69","176.72K","-1.42%"
"01/30/2025","35.21","35.20","35.35","35.06","183.20K","0.60%"
"01/29/2025","35.00","35.28","35.28","34.85","160.42K","-1.07%"
"01/28/2025","35.38","35.68","35.68","35.21","166.94K","-0.17%"
"01/27/2025","35.44","35.62","35.62","35.13","391.83K","1.99%"
"01/24/2025","34.75","34.71","34.96","34.62","130.57K","1.28%"
"01/23/2025","34.31","34.40","34.63","34.07","210.99K","0.29%"
"01/22/2025","34.21","34.32","34.38","34.21","597.90K","-0.96%"
"01/21/2025","34.54","34.42","34.54","34.13","631.08K","1.44%"
"01/17/2025","34.05","34.28","34.30","33.94","300.83K","0.86%"
"01/16/2025","33.76","33.50","33.86","33.33","988.88K","2.18%"
"01/15/2025","33.04","33.05","33.54","32.87","141.52K","-0.27%"
"01/14/2025","33.13","33.38","33.38","32.95","423.17K","-0.09%"
"01/13/2025","33.16","33.05","33.17","32.77","421.59K","-0.12%"
"01/10/2025","33.20","34.27","34.27","33.18","287.00K","-4.63%"
"01/08/2025","34.81","34.77","34.98","34.58","171.67K","-1.97%"
"01/07/2025","35.51","35.58","35.73","35.38","627.78K","0.57%"
"01/06/2025","35.31","34.85","35.79","34.78","568.50K","1.29%"
"01/03/2025","34.86","34.96","35.01","34.73","224.93K","-1.16%"
"01/02/2025","35.27","35.48","35.55","35.18","173.19K","-0.31%"
